주소,센터명,관리코드
 서울특별시 강남구 개포동 12-10,강남푸드뱅크마켓센터 1호점, S38301
 서울특별시 강남구 학동로 426,강남사랑나눔 이동푸드마켓, S50201
 서울특별시 강동구 동남로 926,강동 푸드뱅크마켓센터, S32501
 서울특별시 강동구 천중로15가길 4,나눔과 기쁨 푸드뱅크, S67701
 서울특별시 강동구 천호대로162길 66,글로벌희망나눔, S63001
 서울특별시 강북구 수유2동 385-2,강북 푸드마켓, S35701
 서울특별시 강서구 공항대로 6,강서 푸드뱅크마켓, S37601
 서울특별시 관악구 신림로58길 13,관악구 푸드뱅크마켓, S38001
 서울특별시 광진구 화양동 132-68,광진 푸드뱅크마켓센터, S34101
 서울특별시 구로구 구로동로50길 10,구로구 푸드뱅크마켓센터, S37001
 서울특별시 금천구 시흥대로 97,금천행복푸드뱅크, S64601
 서울특별시 금천구 탑골로 35,금천구 푸드뱅크마켓센터, S35401
 서울특별시 노원구 동일로 1229 ,노원구 푸드뱅크마켓센터, S33101
 서울특별시 도봉구 마들로11길 77,도봉 푸드마켓뱅크, S37801
 서울특별시 도봉구 창동 1-7,서울광역푸드뱅크센터, S00201
 서울특별시 동대문구 천호대로2길 23-9,동대문 푸드뱅크마켓, S35801
 서울특별시 동작구 사당동 169-8,동작구 푸드뱅크마켓센터, S38101
 서울특별시 마포구 노고산동 1-50,마포 행복나눔 기초푸드마켓2호점, S47701
 서울특별시 마포구 성산동 533-1,마포 행복나눔 기초푸드마켓1호점, S36601
 서울특별시 서대문구 냉천동 31-2,서대문 정담은 푸드마켓 1호점, S32601
 서울특별시 서대문구 연희동 133-1,서대문 푸드뱅크, S28201
 서울특별시 서대문구 홍제동 279-41,서대문 정담은 푸드마켓 2호점, S49101
 서울특별시 서초구 바우뫼로 43,서초구 푸드뱅크마켓센터, S35201
서울특별시 성동구 고산자로 323 ,성동 희망푸드 나눔센터, S35601
 서울특별시 성북구 아리랑로4길 22,성북구 푸드뱅크마켓센터, S37701
 서울특별시 성북구 오패산로 4,성북 푸드뱅크마켓센터 2호점, S53901
 서울특별시 송파구 마천동 182-2,송파 푸드마켓뱅크, S35501
 서울특별시 양천구 중앙로 250,양천구 푸드뱅크마켓센터 1호점, S31001
 서울특별시 영등포구 선유동1로 80,영등포구 푸드뱅크마켓 1호점, S32701
 서울특별시 용산구 한강대로 345 ,용산구 푸드뱅크마켓센터, S33501
 서울특별시 은평구 서오릉로 134-5,은평 푸드뱅크마켓, S36401
 서울특별시 종로구 숭인1동 55-2,종로구 푸드뱅크마켓 1호점, S32901
 서울특별시 중구 퇴계로 460,중구 푸드뱅크마켓센터, S36901
 서울특별시 중랑구 봉화산로56길 22,중랑 푸드마켓센터, S32801
